test err 1:0.2466, 3:0.3329, 5:0.3636, 7:0.3745, 10:0.3831
test ndcg 1:0.5126, 3:0.5020, 5:0.5156, 7:0.5296, 10:0.5486
test err 1:0.2448, 3:0.3379, 5:0.3671, 7:0.3780, 10:0.3857
test ndcg 1:0.4908, 3:0.4906, 5:0.5036, 7:0.5212, 10:0.5374
test err 1:0.2371, 3:0.3302, 5:0.3593, 7:0.3706, 10:0.3784
test ndcg 1:0.4943, 3:0.4993, 5:0.5067, 7:0.5247, 10:0.5400
test err 1:0.2397, 3:0.3364, 5:0.3637, 7:0.3759, 10:0.3832
test ndcg 1:0.4874, 3:0.4944, 5:0.5062, 7:0.5277, 10:0.5420
test err 1:0.2345, 3:0.3326, 5:0.3620, 7:0.3739, 10:0.3806
test ndcg 1:0.4862, 3:0.4949, 5:0.5020, 7:0.5215, 10:0.5381
test err 1:0.2336, 3:0.3298, 5:0.3567, 7:0.3691, 10:0.3771
test ndcg 1:0.5299, 3:0.5110, 5:0.5137, 7:0.5277, 10:0.5474
test err 1:0.2595, 3:0.3527, 5:0.3783, 7:0.3893, 10:0.3975
test ndcg 1:0.4391, 3:0.4762, 5:0.4907, 7:0.5079, 10:0.5263
test err 1:0.2241, 3:0.3255, 5:0.3534, 7:0.3642, 10:0.3724
test ndcg 1:0.5184, 3:0.4944, 5:0.5129, 7:0.5257, 10:0.5414
test err 1:0.2474, 3:0.3349, 5:0.3640, 7:0.3768, 10:0.3840
test ndcg 1:0.5057, 3:0.4904, 5:0.5042, 7:0.5152, 10:0.5385
test err 1:0.2431, 3:0.3360, 5:0.3652, 7:0.3752, 10:0.3844
test ndcg 1:0.4920, 3:0.4961, 5:0.5114, 7:0.5225, 10:0.5382
test err 1:0.2414, 3:0.3361, 5:0.3653, 7:0.3757, 10:0.3834
test ndcg 1:0.4851, 3:0.4942, 5:0.5101, 7:0.5205, 10:0.5418
test err 1:0.2345, 3:0.3317, 5:0.3617, 7:0.3721, 10:0.3807
test ndcg 1:0.4908, 3:0.5014, 5:0.5120, 7:0.5273, 10:0.5455
test err 1:0.2336, 3:0.3345, 5:0.3626, 7:0.3739, 10:0.3823
test ndcg 1:0.5207, 3:0.5077, 5:0.5122, 7:0.5310, 10:0.5460
